Moves,Expected,Actual,Nodes,Time(ms)
5554224333234511764415115,31964,31964,50497,11
52753311433677442422121,31972,31972,139689,16
1233722555341451114725221333,-31958,-31958,8533,2
271713432331713132,-31978,-31978,3202618,307
6672375354252731116762237724,-31960,-31960,21978,2
763452543756455357732314,-31972,-31972,44852,4
662222576343651642712157,31973,31973,14645,1
3455565261655364217,-31977,-31977,180989,17
4661237137541742643224,31973,31973,91919,8
21253774536432517717274325,31961,31961,70135,6
715371563635542612576371,31963,31963,61924,5
4435612735531457155143,-31966,-31966,117487,10
3457741246677474572223453551,31967,31967,2239,0
754732466173162124726115261,31970,31970,4056,0
64115442265757253615,31977,31977,81713,6
34651743747475571565,-31974,-31974,735744,63
36127316172165452675422251,31971,31971,6944,0
4235245615377275211512,-31970,-31970,383066,36
122435527534575161761,31976,31976,35624,2
473175162213611457122724,-31970,-31970,296867,28
5533212164224336233241461,31962,31962,4797,0
1231426213112346726266353,-31971,-31971,1743,0
45277231624411643516213,31972,31972,279628,26
1667675535724753771415352132,31959,31959,37462,3
41416453222527221644,31977,31977,1324471,116
1715764132212113656454,-31974,-31974,3898,0
651142666562345525716135112,31960,31960,1246,0
7532455277545526,-31976,-31976,4821447,440
2737772244262123677516643354,0,0,7578,0
5746741223753516274755,31973,31973,31611,3
736655673445166272447546,-31970,-31970,25838,3
5237261635627332664143376,31972,31972,337,0
5617131757733341415,-31973,-31973,2517071,242
6561461362133747245312317267,0,0,78968,7
3111642212167362762555645527,-31960,-31960,7441,0
46212622667241121631756,-31973,-31973,71530,7
47611556754127222,31980,31980,4677819,481
3262221111647466,-31980,-31980,30653614,2721
7722654117336331661371176,31970,31970,9726,1
3237735666151513515634,-31970,-31970,647384,65
71521736623715176174362,-31973,-31973,62307,5
544111732146347,-31975,-31975,6653995,638
47724652442416755146,31973,31973,294603,32
54527613337336351111622,31974,31974,359606,35
35531254275547623,-31975,-31975,20016795,1940
16773414341241421774376322,-31966,-31966,32245,3
175617344365477255,31979,31979,7542841,628
411717625255115123554,-31975,-31975,47202,4
13227167421566572721,-31974,-31974,6150969,565
1456346777667336372,31978,31978,25434,2
3464123621337153667644637227,31961,31961,1050,0
31266511114762722166672,-31963,-31963,200735,18
137616613112365341,31969,31969,2898061,237
